item-db-1   | 2024-11-17T12:52:19.042+0000 I CONTROL  [initandlisten] MongoDB starting : pid=1 port=27017 dbpath=/data/db 64-bit host=5233bfae1cbd
item-app-1  | null
item-app-1  | [0mPOST /api [32m201 [0m3.849 ms - 53[0m
item-app-1  | CommandResult {
item-app-1  |   result: { n: 1, ok: 1 },
item-app-1  |   connection: Connection {
item-app-1  |     _events: [Object: null prototype] {
item-app-1  |       error: [Function],
item-app-1  |       close: [Function],
item-app-1  |       timeout: [Function],
item-app-1  |       parseError: [Function]
item-app-1  |     },
item-app-1  |     _eventsCount: 4,
item-app-1  |     _maxListeners: undefined,
item-app-1  |     options: {
item-app-1  |       host: 'item-db',
item-app-1  |       port: 27017,
item-app-1  |       size: 5,
item-app-1  |       connectionTimeout: 30000,
item-app-1  |       socketTimeout: 360000,
item-app-1  |       keepAlive: true,
item-app-1  |       keepAliveInitialDelay: 300000,
item-app-1  |       noDelay: true,
item-app-1  |       ssl: false,
item-app-1  |       checkServerIdentity: true,
item-app-1  |       ca: null,
item-app-1  |       crl: null,
item-app-1  |       cert: null,
item-app-1  |       key: null,
item-app-1  |       passPhrase: null,
item-app-1  |       rejectUnauthorized: false,
item-app-1  |       promoteLongs: true,
item-app-1  |       promoteValues: true,
item-app-1  |       promoteBuffers: false,
item-app-1  |       reconnect: true,
item-app-1  |       reconnectInterval: 1000,
item-app-1  |       reconnectTries: 30,
item-app-1  |       domainsEnabled: false,
item-app-1  |       disconnectHandler: [Store],
item-app-1  |       cursorFactory: [Function],
item-app-1  |       emitError: true,
item-app-1  |       socketOptions: {},
item-app-1  |       clientInfo: [Object],
item-app-1  |       readPreference: [ReadPreference],
item-app-1  |       promiseLibrary: [Function: Promise],
item-app-1  |       bson: BSON {}
item-app-1  |     },
item-app-1  |     id: 0,
item-app-1  |     logger: Logger { className: 'Connection' },
item-app-1  |     bson: BSON {},
item-app-1  |     tag: undefined,
item-app-1  |     messageHandler: [Function (anonymous)],
item-app-1  |     maxBsonMessageSize: 67108864,
item-app-1  |     port: 27017,
item-app-1  |     host: 'item-db',
item-app-1  |     family: undefined,
item-app-1  |     keepAlive: true,
item-app-1  |     keepAliveInitialDelay: 300000,
item-app-1  |     noDelay: true,
item-app-1  |     connectionTimeout: 30000,
item-app-1  |     socketTimeout: 360000,
item-app-1  |     destroyed: false,
item-app-1  |     domainSocket: false,
item-app-1  |     singleBufferSerializtion: true,
item-app-1  |     serializationFunction: 'toBinUnified',
item-app-1  |     ca: null,
item-app-1  |     crl: null,
item-app-1  |     cert: null,
item-app-1  |     key: null,
item-app-1  |     passphrase: null,
item-app-1  |     ciphers: null,
item-app-1  |     ecdhCurve: null,
item-app-1  |     ssl: false,
item-app-1  |     rejectUnauthorized: false,
item-app-1  |     checkServerIdentity: true,
item-app-1  |     responseOptions: { promoteLongs: true, promoteValues: true, promoteBuffers: false },
item-app-1  |     flushing: false,
item-app-1  |     queue: [],
item-app-1  |     connection: Socket {
item-app-1  |       connecting: false,
item-app-1  |       _hadError: false,
item-app-1  |       _parent: null,
item-app-1  |       _host: 'item-db',
item-app-1  |       _readableState: [ReadableState],
item-app-1  |       _events: [Object: null prototype],
item-app-1  |       _eventsCount: 5,
item-app-1  |       _maxListeners: undefined,
item-app-1  |       _writableState: [WritableState],
item-app-1  |       allowHalfOpen: false,
item-app-1  |       _sockname: null,
item-app-1  |       _pendingData: null,
item-app-1  |       _pendingEncoding: '',
item-app-1  |       server: null,
item-app-1  |       _server: null,
item-app-1  |       timeout: 360000,
item-app-1  |       [Symbol(async_id_symbol)]: 6,
item-app-1  |       [Symbol(kHandle)]: [TCP],
item-app-1  |       [Symbol(kSetNoDelay)]: true,
item-app-1  |       [Symbol(lastWriteQueueSize)]: 0,
item-app-1  |       [Symbol(timeout)]: Timeout {
item-app-1  |         _idleTimeout: 360000,
item-app-1  |         _idlePrev: [TimersList],
item-app-1  |         _idleNext: [TimersList],
item-app-1  |         _idleStart: 241939,
item-app-1  |         _onTimeout: [Function: bound ],
item-app-1  |         _timerArgs: undefined,
item-app-1  |         _repeat: null,
item-app-1  |         _destroyed: false,
item-app-1  |         [Symbol(refed)]: false,
item-app-1  |         [Symbol(kHasPrimitive)]: false,
item-app-1  |         [Symbol(asyncId)]: 717,
item-app-1  |         [Symbol(triggerId)]: 6
item-app-1  |       },
item-app-1  |       [Symbol(kBuffer)]: null,
item-app-1  |       [Symbol(kBufferCb)]: null,
item-app-1  |       [Symbol(kBufferGen)]: null,
item-app-1  |       [Symbol(kCapture)]: false,
item-app-1  |       [Symbol(kBytesRead)]: 0,
item-app-1  |       [Symbol(kBytesWritten)]: 0
item-app-1  |     },
item-app-1  |     writeStream: null,
item-app-1  |     hashedName: '03c1a6d65ff75972af4aa8f49add6222130d828a',
item-app-1  |     workItems: [],
item-app-1  |     buffer: null,
item-app-1  |     sizeOfMessage: 0,
item-app-1  |     bytesRead: 0,
item-app-1  |     stubBuffer: null,
item-app-1  |     [Symbol(kCapture)]: false
item-app-1  |   },
item-app-1  |   message: Response {
item-app-1  |     parsed: true,
item-app-1  |     index: 60,
item-app-1  |     raw: <Buffer 3c 00 00 00 39 00 00 00 38 00 00 00 01 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 18 00 00 00 10 6e 00 01 00 00 00 01 6f 6b ... 10 more bytes>,
item-app-1  |     data: <Buffer 3c 00 00 00 39 00 00 00 38 00 00 00 01 00 00 00 08 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 18 00 00 00 10 6e 00 01 00 00 00 01 6f 6b ... 10 more bytes>,
item-app-1  |     bson: BSON {},
item-app-1  |     opts: { promoteLongs: true, promoteValues: true, promoteBuffers: false },
item-app-1  |     length: 60,
item-app-1  |     requestId: 57,
item-app-1  |     responseTo: 56,
item-app-1  |     responseFlags: 8,
item-app-1  |     cursorId: Long { _bsontype: 'Long', low_: 0, high_: 0 },
item-app-1  |     startingFrom: 0,
item-app-1  |     numberReturned: 1,
item-app-1  |     documents: [ [Object] ],
item-app-1  |     cursorNotFound: false,
item-app-1  |     queryFailure: false,
item-app-1  |     shardConfigStale: false,
item-app-1  |     awaitCapable: true,
item-app-1  |     promoteLongs: true,
item-app-1  |     promoteValues: true,
item-app-1  |     promoteBuffers: false,
item-app-1  |     hashedName: '03c1a6d65ff75972af4aa8f49add6222130d828a'
item-app-1  |   },
item-app-1  |   ops: [ { message: 'test 3', _id: 6739e800bdd6fd0062d3f53d } ],
item-app-1  |   insertedCount: 1,
item-app-1  |   insertedId: 6739e800bdd6fd0062d3f53d
item-app-1  | }
item-app-1  | null
item-app-1  | [0mPOST /api [32m201 [0m5.532 ms - 53[0m
